Time,well,value,mrna,buffer,buffer_conc,repeat,comment
6.974166666666667,K9,589,no,Ppi,.05 mM,R1,
7.024166666666667,K9,819,no,Ppi,.05 mM,R1,
7.074166666666667,K9,654,no,Ppi,.05 mM,R1,
7.1241666666666665,K9,672,no,Ppi,.05 mM,R1,
7.174166666666666,K9,700,no,Ppi,.05 mM,R1,
7.224166666666667,K9,474,no,Ppi,.05 mM,R1,
7.274166666666668,K9,804,no,Ppi,.05 mM,R1,
7.324166666666667,K9,820,no,Ppi,.05 mM,R1,
7.374166666666667,K9,581,no,Ppi,.05 mM,R1,
7.424166666666666,K9,667,no,Ppi,.05 mM,R1,
7.474166666666667,K9,663,no,Ppi,.05 mM,R1,
7.524166666666666,K9,578,no,Ppi,.05 mM,R1,
7.574166666666667,K9,554,no,Ppi,.05 mM,R1,
7.624166666666666,K9,735,no,Ppi,.05 mM,R1,
7.674166666666666,K9,854,no,Ppi,.05 mM,R1,
7.724166666666667,K9,576,no,Ppi,.05 mM,R1,
7.774166666666667,K9,672,no,Ppi,.05 mM,R1,
7.824166666666667,K9,703,no,Ppi,.05 mM,R1,
7.8741666666666665,K9,803,no,Ppi,.05 mM,R1,
7.924166666666666,K9,397,no,Ppi,.05 mM,R1,
7.974166666666667,K9,690,no,Ppi,.05 mM,R1,
8.024166666666666,K9,498,no,Ppi,.05 mM,R1,
8.074166666666667,K9,544,no,Ppi,.05 mM,R1,
8.124166666666667,K9,600,no,Ppi,.05 mM,R1,
8.174166666666666,K9,537,no,Ppi,.05 mM,R1,
8.224166666666667,K9,779,no,Ppi,.05 mM,R1,
8.274166666666666,K9,613,no,Ppi,.05 mM,R1,
8.324166666666667,K9,461,no,Ppi,.05 mM,R1,
8.374166666666667,K9,615,no,Ppi,.05 mM,R1,
8.424166666666666,K9,640,no,Ppi,.05 mM,R1,
8.474166666666667,K9,638,no,Ppi,.05 mM,R1,
8.524166666666666,K9,694,no,Ppi,.05 mM,R1,
8.574166666666667,K9,673,no,Ppi,.05 mM,R1,
8.624166666666667,K9,561,no,Ppi,.05 mM,R1,
8.674166666666666,K9,709,no,Ppi,.05 mM,R1,
8.724166666666667,K9,689,no,Ppi,.05 mM,R1,
8.774166666666666,K9,448,no,Ppi,.05 mM,R1,
8.824166666666667,K9,438,no,Ppi,.05 mM,R1,
8.874166666666667,K9,563,no,Ppi,.05 mM,R1,
8.924166666666666,K9,628,no,Ppi,.05 mM,R1,
8.974166666666667,K9,622,no,Ppi,.05 mM,R1,
9.024166666666666,K9,498,no,Ppi,.05 mM,R1,
9.074166666666667,K9,517,no,Ppi,.05 mM,R1,
9.124166666666667,K9,702,no,Ppi,.05 mM,R1,
9.174166666666666,K9,661,no,Ppi,.05 mM,R1,
9.224166666666667,K9,685,no,Ppi,.05 mM,R1,
9.274166666666666,K9,483,no,Ppi,.05 mM,R1,
9.324166666666667,K9,727,no,Ppi,.05 mM,R1,
9.374166666666667,K9,692,no,Ppi,.05 mM,R1,
9.424166666666666,K9,595,no,Ppi,.05 mM,R1,
9.474166666666667,K9,642,no,Ppi,.05 mM,R1,
9.524166666666666,K9,780,no,Ppi,.05 mM,R1,
9.574166666666667,K9,510,no,Ppi,.05 mM,R1,
9.624166666666667,K9,776,no,Ppi,.05 mM,R1,
9.674166666666666,K9,604,no,Ppi,.05 mM,R1,
9.724166666666667,K9,722,no,Ppi,.05 mM,R1,
9.774166666666666,K9,447,no,Ppi,.05 mM,R1,
9.824166666666667,K9,558,no,Ppi,.05 mM,R1,
9.874166666666667,K9,607,no,Ppi,.05 mM,R1,
9.924166666666666,K9,577,no,Ppi,.05 mM,R1,
9.974166666666667,K9,648,no,Ppi,.05 mM,R1,
10.024166666666666,K9,609,no,Ppi,.05 mM,R1,
10.074166666666667,K9,524,no,Ppi,.05 mM,R1,
10.124166666666667,K9,511,no,Ppi,.05 mM,R1,
10.174166666666666,K9,544,no,Ppi,.05 mM,R1,
10.224166666666667,K9,450,no,Ppi,.05 mM,R1,
10.274166666666666,K9,588,no,Ppi,.05 mM,R1,
10.324166666666667,K9,735,no,Ppi,.05 mM,R1,
10.374166666666667,K9,750,no,Ppi,.05 mM,R1,
10.424166666666666,K9,687,no,Ppi,.05 mM,R1,
10.474166666666667,K9,625,no,Ppi,.05 mM,R1,
10.524166666666666,K9,486,no,Ppi,.05 mM,R1,
10.574166666666667,K9,459,no,Ppi,.05 mM,R1,
10.624166666666667,K9,494,no,Ppi,.05 mM,R1,
10.674166666666666,K9,467,no,Ppi,.05 mM,R1,
10.724166666666667,K9,692,no,Ppi,.05 mM,R1,
10.774166666666666,K9,641,no,Ppi,.05 mM,R1,
10.824166666666667,K9,637,no,Ppi,.05 mM,R1,
10.874166666666667,K9,436,no,Ppi,.05 mM,R1,
10.924166666666666,K9,650,no,Ppi,.05 mM,R1,
10.974166666666667,K9,593,no,Ppi,.05 mM,R1,
11.024166666666666,K9,530,no,Ppi,.05 mM,R1,
11.074166666666667,K9,690,no,Ppi,.05 mM,R1,
11.124166666666667,K9,636,no,Ppi,.05 mM,R1,
11.174166666666666,K9,565,no,Ppi,.05 mM,R1,
11.224166666666667,K9,762,no,Ppi,.05 mM,R1,
11.274166666666666,K9,510,no,Ppi,.05 mM,R1,
11.324166666666667,K9,690,no,Ppi,.05 mM,R1,
11.374166666666667,K9,626,no,Ppi,.05 mM,R1,
